id,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298200,6606987,K & N,within an hour,100%,100%,Katsushika District,3,3,Katsushika District,Katsushika Ku,House,Entire home/apt,4,2.5,2,4,"$13,049.00",2,"$2,800.00",4,30,3,4,30,30,339,42,99,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306664,7103955,Masaharu,within a few hours,80%,94%,Shinjuku District,10,10,Shinjuku District,Shinjuku Ku,Apartment,Entire home/apt,2,1,1,1,"$28,023.00",1,$0.00,2,180,2,2,180,180,162,23,99,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394124,5710367,David,within an hour,100%,100%,Meguro District,7,7,Meguro District,Meguro Ku,House,Entire home/apt,11,4,3,11,"$25,028.00",5,"$2,500.00",2,90,2,2,1125,1125,218,24,96,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394409,7537357,Yayoi,within a few hours,100%,46%,Toshima District,0,0,Toshima District,Toshima Ku,House,Private room,2,2,1,2,"$3,209.00",1,"$3,000.00",3,1125,3,3,1125,1125,225,15,94,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394737,7537357,Yayoi,within a few hours,100%,46%,Toshima District,0,0,Toshima District,Toshima Ku,House,Private room,2,2,1,2,"$2,145.00",1,"$3,000.00",3,1125,3,3,1125,1125,220,10,93,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441639,7740848,K Family,within a few hours,100%,100%,Katsushika District,8,8,Katsushika District,Katsushika Ku,Apartment,Entire home/apt,5,1.5,1,5,"$13,477.00",3,"$3,000.00",4,30,4,5,30,30,304,41,99,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526132,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Private room,3,1,1,0,"$6,007.00",1,"$5,980.00",2,30,2,2,30,30,156,13,97,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544970,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Private room,3,1,1,0,"$6,007.00",1,"$5,980.00",2,1125,2,2,1125,1125,130,17,97,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571298,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Shared room,9,1,1,9,"$3,969.00",1,"$3,980.00",2,30,2,2,30,30,168,24,96,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574946,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Shared room,9,1,1,0,"$3,969.00",1,"$3,980.00",2,1125,2,2,1125,1125,141,24,96,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600454,8529477,Mari ,within a day,100%,100%,Setagaya District,2,2,Setagaya District,Setagaya Ku,House,Private room,1,1,1,1,"$3,325.00",1,$0.00,2,7,2,2,7,7,42,1,96,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600758,8529477,Mari ,within a day,100%,100%,Setagaya District,2,2,Setagaya District,Setagaya Ku,House,Private room,1,1.5,1,1,"$3,637.00",1,$0.00,2,7,2,2,7,7,13,10,100,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642592,4847803,Best Stay In Tokyo!,within an hour,100%,100%,Shibuya District,11,11,Shibuya District,Shibuya Ku,Apartment,Entire home/apt,6,1,2,3,"$12,871.00",2,"$2,682.00",3,1125,3,3,1125,1125,84,15,99,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732795,6606987,K & N,within an hour,100%,100%,Katsushika District,3,3,Katsushika District,Katsushika Ku,House,Entire home/apt,5,2,2,4,"$12,979.00",3,"$3,000.00",3,30,3,4,30,30,304,35,98,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754294,6018145,Mari,within a few hours,100%,49%,Shinjuku District,3,3,Shinjuku District,Shinjuku Ku,House,Private room,3,1,1,2,"$8,581.00",3,$0.00,1,1124,1,21,1124,1124,245,16,98,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788937,9365325,Takayuki,within an hour,100%,100%,,1,1,,Mitaka Shi,Apartment,Entire home/apt,9,1,3,2,"$14,011.00",4,"$1,500.00",2,27,2,2,1125,1125,37,37,98,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868030,8660693,Soichi,within an hour,100%,96%,Koto District,17,17,Sumida District,Koto Ku,Apartment,Private room,1,1,1,1,"$3,316.00",1,"$1,000.00",30,1125,1,30,1125,1125,114,1,88,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919541,9951050,Takashi&Li,within an hour,100%,100%,Shinagawa District,2,2,,Shinagawa Ku,House,Private room,2,1,1,1,"$8,022.00",1,"$3,000.00",2,2,1,2,2,2,227,12,98,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997959,10294366,Ryusuke,within a few hours,100%,67%,Setagaya District,2,2,Setagaya District,Setagaya Ku,Condominium,Entire home/apt,16,2,3,15,"$14,974.00",2,"$2,850.00",2,180,2,7,180,180,105,7,98,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027932,10415965,Azabu,within an hour,100%,95%,Shibuya District,3,3,Minato District,Minato Ku,House,Entire home/apt,14,2.5,4,9,"$69,522.00",6,"$6,609.00",4,365,4,4,365,365,169,10,95,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2075509,11046932,The Dawson Family,within an hour,100%,98%,Minato District,2,2,Minato District,Minato Ku,House,Entire home/apt,9,2.5,4,9,"$80,004.00",4,"$5,000.00",3,1125,3,3,1125,1125,240,30,98,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129583,9203725,Memz And Taki,within a few hours,100%,82%,Suginami District,5,5,Suginami District,Suginami Ku,Apartment,Entire home/apt,5,1,1,3,"$10,910.00",3,"$3,000.00",1,1125,1,1,1125,1125,8,1,98,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219300,9203725,Memz And Taki,within a few hours,100%,82%,Suginami District,5,5,Suginami District,Suginami Ku,Apartment,Entire home/apt,4,1,1,3,"$16,471.00",3,"$3,000.00",1,1125,1,1,1125,1125,16,2,100,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2238472,11430874,Kako & Keiko,within an hour,100%,81%,Shibuya District,1,1,Shibuya District,Shibuya Ku,House,Private room,4,2,1,0,"$26,953.00",2,"$5,000.00",1,30,1,1,30,30,156,12,99,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262879,8660693,Soichi,within an hour,100%,96%,Koto District,17,17,Sumida District,Koto Ku,Apartment,Private room,2,0.5,1,1,"$3,530.00",1,"$1,500.00",30,1125,30,30,1125,1125,42,2,87,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289698,4799233,Yu,within a few hours,100%,100%,Shinjuku District,2,2,Shinjuku District,Shinjuku Ku,Apartment,Entire home/apt,2,1,1,0,"$3,969.00",1,$0.00,30,365,30,30,365,365,73,4,88,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491507,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Private room,3,1,1,0,"$6,007.00",1,"$5,980.00",2,1125,2,2,1125,1125,82,7,95,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602722,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Shared room,9,1,1,9,"$3,969.00",1,"$3,980.00",2,1125,2,2,1125,1125,158,25,96,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602791,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Shared room,9,1,1,9,"$3,969.00",1,"$3,980.00",2,1125,2,2,1125,1125,71,7,94,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642449,8660693,Soichi,within an hour,100%,96%,Koto District,17,17,Sumida District,Koto Ku,Apartment,Private room,3,0.5,1,3,"$2,460.00",2,"$1,000.00",30,1124,30,30,1124,1124,72,2,90,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645379,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Shared room,9,1,1,0,"$3,969.00",1,"$3,980.00",2,1125,2,2,1125,1125,73,7,95,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645582,13521173,Alba & Cupidon,within an hour,100%,96%,Shinjuku District,2,2,Shinjuku District,Shinjuku Ku,Apartment,Entire home/apt,2,1,1,2,"$9,439.00",1,$0.00,2,1125,2,2,1125,1125,199,23,96,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661155,8660693,Soichi,within an hour,100%,96%,Koto District,17,17,Sumida District,Koto Ku,Apartment,Private room,3,0.5,1,3,"$3,209.00",2,"$1,000.00",30,1111,30,30,1111,1111,90,1,87,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803972,13465066,Tomoyuki&Maki,within an hour,100%,100%,,2,2,,Akishima Shi,Guest suite,Entire home/apt,2,1,1,1,"$3,850.00",1,"$1,200.00",3,120,3,3,120,120,28,1,95,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839061,4839990,Toshiyuki,within a day,100%,79%,Bunkyo District,0,0,Bunkyo District,Bunkyo Ku,House,Private room,2,2,1,1,"$5,470.00",1,"$1,700.00",4,90,4,4,90,90,75,15,97,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2867835,9360394,Vann Amor,N/A,N/A,100%,Adachi District,4,4,,Adachi Ku,Apartment,Entire home/apt,5,1,1,3,"$12,835.00",5,"$2,500.00",7,365,7,7,365,365,6,2,83,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883497,6969809,Kota,within an hour,100%,100%,Asakusa/Ueno,2,2,Taito District,Taito Ku,Hut,Entire home/apt,6,1,2,6,"$18,985.00",4,"$4,000.00",1,90,1,1,1125,1125,253,46,95,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883753,9360394,Vann Amor,N/A,N/A,100%,Adachi District,4,4,,Adachi Ku,Apartment,Entire home/apt,5,1,1,3,"$12,835.00",5,"$2,500.00",7,1125,7,7,1125,1125,3,0,87,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883869,9360394,Vann Amor,N/A,N/A,100%,Adachi District,4,4,,Adachi Ku,Apartment,Entire home/apt,2,1,1,1,"$6,524.00",2,"$2,500.00",7,1125,7,7,1125,1125,4,2,90,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021731,15397951,Kay,within a few hours,100%,87%,Shinjuku District,3,3,Shinjuku District,Toshima Ku,House,Private room,2,1,1,2,"$5,470.00",1,"$3,000.00",2,1125,2,2,1125,1125,111,9,92,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085134,10415965,Azabu,within an hour,100%,95%,Shibuya District,3,3,Shibuya District,Shibuya Ku,House,Entire home/apt,6,1.5,2,4,"$25,991.00",3,"$2,500.00",3,365,3,3,365,365,117,16,95,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097514,15751854,Ziggie,N/A,N/A,N/A,Meguro District,3,3,Meguro District,Meguro Ku,House,Private room,2,1.5,1,2,"$5,348.00",1,"$2,460.00",35,365,35,35,365,365,50,0,91,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126831,8660693,Soichi,within an hour,100%,96%,Koto District,17,17,Sumida District,Sumida Ku,Apartment,Private room,2,1,1,1,"$2,467.00",2,$0.00,30,1125,30,30,1125,1125,41,2,88,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3177109,16110809,Colleen,within a day,50%,75%,Shinjuku District,1,1,Shinjuku District,Shinjuku Ku,Apartment,Entire home/apt,2,1,1,1,"$10,512.00",1,$0.00,30,360,1,30,360,360,114,5,99,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3235958,16241464,Kaori,within an hour,100%,94%,Itabashi District,2,2,Itabashi District,Itabashi Ku,Apartment,Entire home/apt,2,1,1,0,"$5,455.00",2,"$2,000.00",1,30,1,1,1125,1125,85,8,95,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3265059,6606987,K & N,within an hour,100%,100%,Katsushika District,3,3,Katsushika District,Katsushika Ku,House,Private room,2,2,1,2,"$5,455.00",1,"$2,200.00",4,30,4,4,30,30,319,29,98,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339222,16241464,Kaori,within an hour,100%,94%,Itabashi District,2,2,Itabashi District,Itabashi Ku,Apartment,Entire home/apt,2,1.5,1,0,"$5,134.00",1,"$1,500.00",1,100,1,1,1125,1125,49,6,92,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364169,16973429,Hirano San,within an hour,100%,82%,Asakusa/Ueno,2,2,Asakusa/Ueno,Taito Ku,Apartment,Entire home/apt,4,1,1,4,"$8,022.00",2,"$1,500.00",5,1125,5,5,1125,1125,125,17,94,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372902,17018818,Miri,within an hour,100%,100%,Meguro District,1,1,Meguro District,Meguro Ku,Apartment,Entire home/apt,2,1,1,2,"$6,845.00",1,"$2,000.00",2,1125,2,2,1125,1125,132,18,91,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3395898,17133875,Shizu&Tazu&Mari,N/A,N/A,N/A,Ota District,2,2,,Ota Ku,Apartment,Entire home/apt,1,1,0,1,"$5,041.00",1,$0.00,28,1125,28,28,1125,1125,54,0,93,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3409030,17190614,Shu,within a few hours,100%,79%,Shinjuku,1,1,Shinjuku District,Shinjuku Ku,House,Private room,3,1.5,1,2,"$8,045.00",2,"$3,000.00",7,120,7,7,120,120,158,20,94,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427384,13018876,Masakatsu,within an hour,100%,100%,Edogawa District,2,2,Edogawa District,Edogawa Ku,Apartment,Entire home/apt,3,1.5,1,4,"$5,134.00",1,"$2,567.00",2,90,2,2,1125,1125,81,34,96,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514008,17694529,Hisao,within an hour,100%,92%,Arakawa District,9,9,Arakawa District,Arakawa Ku,Apartment,Entire home/apt,2,1,1,2,"$2,460.00",1,"$2,000.00",1,1125,1,1,1125,1125,233,30,98,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3572139,15514130,Tomo,within an hour,100%,100%,,1,1,Toshima District,Toshima Ku,House,Entire home/apt,6,1,3,6,"$35,825.00",6,"$6,000.00",3,30,3,3,1125,1125,157,19,97,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585992,17133875,Shizu&Tazu&Mari,N/A,N/A,N/A,Ota District,2,2,,Ota Ku,Apartment,Entire home/apt,1,1,0,1,"$5,041.00",1,$0.00,28,1125,28,28,1125,1125,34,0,95,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3623844,13018876,Masakatsu,within an hour,100%,100%,Edogawa District,2,2,,Edogawa Ku,Apartment,Entire home/apt,3,1.5,1,3,"$5,134.00",1,"$2,567.00",2,90,2,2,1125,1125,65,30,97,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3689244,18776800,LiveinAsia,within a few hours,100%,99%,Shibuya District,18,18,Shibuya District,Shibuya Ku,Apartment,Entire home/apt,7,1,2,3,"$31,018.00",4,"$2,000.00",6,365,6,6,365,365,13,3,92,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716040,5660134,Kengo,within an hour,100%,93%,Setagaya District,1,1,Setagaya District,Setagaya Ku,House,Entire home/apt,2,1,2,2,"$8,022.00",1,"$1,500.00",2,29,1,2,29,29,31,9,99,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3744742,19152993,Sei,within an hour,100%,100%,Kita District,8,8,Kita District,Kita Ku,Apartment,Entire home/apt,5,1,1,5,"$5,348.00",4,"$1,604.00",3,1124,3,5,1124,1124,204,19,86,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3775528,19358663,Mikako,within an hour,100%,99%,Setagaya District,4,4,Setagaya District,Setagaya Ku,House,Private room,2,1,1,1,"$7,701.00",1,"$5,348.00",1,60,1,1,60,60,83,8,100,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3793206,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Private room,1,1,1,1,"$6,007.00",1,$0.00,2,30,2,2,30,30,209,27,98,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3793412,8142772,Min & Haru,within an hour,100%,84%,Shinjuku District,13,13,Shinjuku District,Shinjuku Ku,Apartment,Private room,4,1,1,3,"$6,007.00",1,"$5,980.00",2,30,2,2,30,30,71,10,97,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838856,4626879,Sam,within an hour,100%,100%,Shibuya District,17,17,Shibuya District,Shibuya Ku,House,Entire home/apt,8,1.5,3,5,"$13,193.00",2,"$2,750.00",2,1124,2,2,1124,1124,170,3,97,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
